GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1731000509.4523778,1731000509.4553447,1731000518.1873274,8.731982705116188,15,google/flan-t5-base,task_0_of_user_15,-1
2,1731000509.4532776,1731000509.4556186,1731000517.738281,8.282662422445561,11,lucadiliello/bart-small,task_0_of_user_11,-1
3,1731000509.4536371,1731000509.455791,1731000517.7384534,8.282662422445561,8,lucadiliello/bart-small,task_1_of_user_8,-1
4,1731000509.453719,1731000509.456015,1731000517.7386775,8.282662422445561,6,lucadiliello/bart-small,task_1_of_user_6,-1
5,1731000509.454311,1731000509.4562483,1731000518.188231,8.731982705116188,1,google/flan-t5-small,task_1_of_user_1,-1
6,1731000509.454693,1731000509.4564886,1731000517.739151,8.282662422445561,10,lucadiliello/bart-small,task_0_of_user_10,-1
7,1731000509.4547894,1731000509.4567053,1731000517.7393677,8.282662422445561,13,lucadiliello/bart-small,task_0_of_user_13,-1
1,1731000513.4393437,1731000518.1981773,1731000526.93016,8.731982705116188,3,google/flan-t5-small,task_1_of_user_3,-1
2,1731000513.6369665,1731000518.1987863,1731000526.930769,8.731982705116188,8,google/flan-t5-small,task_0_of_user_8,-1
3,1731000512.923854,1731000518.1989808,1731000526.9309635,8.731982705116188,2,google/flan-t5-small,task_0_of_user_2,-1
4,1731000509.4550436,1731000518.1991725,1731000526.9311552,8.731982705116188,14,google/flan-t5-small,task_0_of_user_14,-1
5,1731000517.5264175,1731000518.1993828,1731000526.4820452,8.282662422445561,1,lucadiliello/bart-small,task_0_of_user_1,-1
6,1731000509.4553013,1731000518.1995668,1731000526.4822292,8.282662422445561,2,lucadiliello/bart-small,task_1_of_user_2,-1
7,1731000509.4548552,1731000518.1998057,1731000526.9317884,8.731982705116188,12,google/flan-t5-small,task_0_of_user_12,-1
1,1731000517.1832306,1731000526.9393258,1731000535.6713085,8.731982705116188,12,google/flan-t5-small,task_1_of_user_12,-1
2,1731000513.5008807,1731000526.940099,1731000528.8488495,1.9087504340726067,1,google/flan-t5-small,task_1_of_user_1,-1
3,1731000518.194687,1731000526.9403758,1731000535.2230382,8.282662422445561,7,lucadiliello/bart-small,task_1_of_user_7,-1
4,1731000518.1966195,1731000526.940611,1731000535.2232733,8.282662422445561,9,lucadiliello/bart-small,task_1_of_user_9,-1
5,1731000518.197867,1731000526.940872,1731000535.2235343,8.282662422445561,6,lucadiliello/bart-small,task_2_of_user_6,-1
6,1731000516.5857162,1731000526.9410899,1731000528.8498404,1.9087504340726067,3,google/flan-t5-small,task_1_of_user_3,-1
7,1731000513.45457,1731000526.9413025,1731000528.850053,1.9087504340726067,14,google/flan-t5-small,task_0_of_user_14,-1
1,1731000519.4367886,1731000535.6817272,1731000542.8176355,7.135908258512444,1,google/flan-t5-base,task_2_of_user_1,-1
2,1731000517.265067,1731000535.682157,1731000542.8180654,7.135908258512444,15,google/flan-t5-base,task_0_of_user_15,-1
3,1731000513.5315108,1731000535.6823514,1731000544.414334,8.731982705116188,5,google/flan-t5-base,task_0_of_user_5,-1
4,1731000516.9991732,1731000535.6825724,1731000537.591323,1.9087504340726067,2,google/flan-t5-small,task_0_of_user_2,-1
5,1731000517.0351853,1731000535.6827614,1731000537.591512,1.9087504340726067,8,google/flan-t5-small,task_0_of_user_8,-1
6,1731000519.574395,1731000535.68294,1731000543.9656024,8.282662422445561,7,lucadiliello/bart-small,task_2_of_user_7,-1
7,1731000509.4550312,1731000535.683132,1731000543.9657943,8.282662422445561,3,lucadiliello/bart-small,task_0_of_user_3,-1
1,1731000520.3434136,1731000544.422634,1731000551.5585423,7.135908258512444,5,google/flan-t5-base,task_1_of_user_5,-1
2,1731000518.1967742,1731000544.423284,1731000546.3320346,1.9087504340726067,12,google/flan-t5-small,task_1_of_user_12,-1
3,1731000518.1973212,1731000544.423514,1731000553.1554966,8.731982705116188,1,google/flan-t5-base,task_2_of_user_1,-1
4,1731000516.6672883,1731000544.4237614,1731000552.7064238,8.282662422445561,14,lucadiliello/bart-small,task_1_of_user_14,-1
5,1731000513.5008285,1731000544.4239511,1731000546.3327017,1.9087504340726067,12,google/flan-t5-small,task_0_of_user_12,-1
1,1731000517.6028862,1731000553.1633341,1731000560.2992425,7.135908258512444,5,google/flan-t5-base,task_0_of_user_5,-1
2,1731000519.8562996,1731000553.1636164,1731000560.2995248,7.135908258512444,5,google/flan-t5-base,task_2_of_user_5,-1
3,1731000519.9022963,1731000553.163808,1731000560.2997165,7.135908258512444,9,google/flan-t5-base,task_2_of_user_9,-1
2,1731000513.4905005,1731000561.9020472,1731000570.6340299,8.731982705116188,7,google/flan-t5-base,task_0_of_user_7,-1
1,1731000509.4544737,1731000561.9026806,1731000570.6346633,8.731982705116188,9,google/flan-t5-base,task_0_of_user_9,-1
3,1731000514.4426146,1731000561.9028752,1731000569.0387836,7.135908258512444,4,google/flan-t5-base,task_0_of_user_4,-1
1,1731000519.3854313,1731000570.6418133,1731000579.373796,8.731982705116188,5,google/flan-t5-base,task_2_of_user_5,-1
2,1731000519.7279394,1731000570.642389,1731000579.3743718,8.731982705116188,9,google/flan-t5-base,task_2_of_user_9,-1
3,1731000513.1384118,1731000570.642639,1731000579.3746216,8.731982705116188,9,google/flan-t5-base,task_0_of_user_9,-1
