GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1730734130.6708393,1730734130.6723278,1730734131.0584831,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,0
2,1730734130.671786,1730734130.6733284,1730734130.9478028,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,0
3,1730734130.6718254,1730734130.6735013,1730734130.8735013,0.2,1,google/flan-t5-small,task_1_of_user_1,0
4,1730734130.6722252,1730734130.6736798,1730734131.0598352,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,0
5,1730734130.6726959,1730734130.6738539,1730734131.0600092,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,0
6,1730734130.6731384,1730734130.6740463,1730734131.0602016,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,0
7,1730734130.6732492,1730734130.6742177,1730734131.060373,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,0
3,1730734130.6733017,1730734130.8803494,1730734131.1548238,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,0
2,1730734130.8798497,1730734130.954668,1730734131.154668,0.2,1,google/flan-t5-small,task_1_of_user_1,1
1,1730734130.8793418,1730734131.067847,1730734131.3423214,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,1
4,1730734130.9534192,1730734131.0685816,1730734131.454737,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,1
5,1730734130.9536088,1730734131.068703,1730734131.4548583,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,1
6,1730734130.9536443,1730734131.0688448,1730734131.4550002,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,1
7,1730734130.9540026,1730734131.0689485,1730734131.4551039,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,1
2,1730734131.0684052,1730734131.1654935,1730734131.4399679,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,2
3,1730734131.0684347,1730734131.1658485,1730734131.4403229,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,3
1,1730734131.1652887,1730734131.351303,1730734131.6257775,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,4
3,1730734131.0680113,1730734131.4467092,1730734131.8328645,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,3
2,1730734131.0680232,1730734131.4474506,1730734131.721925,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,3
4,1730734131.0685108,1730734131.4604082,1730734131.8465636,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,2
5,1730734130.954775,1730734131.4605846,1730734131.6605847,0.2,1,google/flan-t5-small,task_1_of_user_1,2
6,1730734131.0677898,1730734131.460705,1730734131.8468604,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,2
7,1730734131.446259,1730734131.460845,1730734131.8470004,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,5
1,1730734131.0676785,1730734131.6288934,1730734131.9033678,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,3
5,1730734131.3510356,1730734131.6664696,1730734132.052625,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,4
2,1730734131.4470544,1730734131.7300947,1730734132.004569,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,7
3,1730734131.1646364,1730734131.8402572,1730734132.0402572,0.2,1,google/flan-t5-small,task_1_of_user_1,4
4,1730734131.1658127,1730734131.8516967,1730734132.237852,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,4
6,1730734131.6287537,1730734131.8523102,1730734132.2384655,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,6
7,1730734131.628806,1730734131.8524232,1730734132.2385786,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,6
1,1730734131.7299812,1730734131.9057288,1730734132.1802032,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,10
2,1730734131.1649315,1730734132.0112839,1730734132.3974392,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,3
3,1730734131.83889,1730734132.046853,1730734132.3213274,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,10
5,1730734131.0682304,1730734132.054926,1730734132.254926,0.2,1,google/flan-t5-small,task_1_of_user_1,3
1,1730734131.6662574,1730734132.1872382,1730734132.4617126,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,9
4,1730734131.350969,1730734132.243402,1730734132.6295574,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,4
6,1730734132.1863358,1730734132.2436283,1730734132.6297836,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,13
7,1730734132.1869519,1730734132.243789,1730734132.6299443,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,11
5,1730734132.0104089,1730734132.2603188,1730734132.4603188,0.2,1,google/flan-t5-small,task_1_of_user_1,13
3,1730734131.3512192,1730734132.3289146,1730734132.603389,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,5
2,1730734131.4473395,1730734132.403391,1730734132.7895463,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,5
1,1730734131.3505073,1730734132.4675095,1730734132.741984,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,5
5,1730734131.3508453,1730734132.4679298,1730734132.66793,0.2,1,google/flan-t5-small,task_1_of_user_1,5
3,1730734132.467617,1730734132.6087132,1730734132.9948685,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,13
4,1730734132.0105283,1730734132.631664,1730734133.0178194,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,9
6,1730734131.802265,1730734132.6319985,1730734133.018154,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,10
7,1730734131.1650658,1730734132.6321287,1730734133.018284,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,3
5,1730734131.4464467,1730734132.6732557,1730734132.8732557,0.2,1,google/flan-t5-small,task_1_of_user_1,6
1,1730734132.0102792,1730734132.7460706,1730734133.020545,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,12
2,1730734132.4672182,1730734132.7960494,1730734133.0705237,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,13
5,1730734131.6767502,1730734132.8783824,1730734133.0783825,0.2,1,google/flan-t5-small,task_1_of_user_1,9
3,1730734131.3511508,1730734132.9988554,1730734133.3850107,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,4
4,1730734132.1019347,1730734133.020641,1730734133.4067965,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,10
1,1730734131.1653647,1730734133.0213008,1730734133.2957752,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,4
6,1730734131.8508716,1730734133.0214229,1730734133.4075782,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,8
7,1730734131.460354,1730734133.0215447,1730734133.4077,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,7
2,1730734130.6730416,1730734133.0772126,1730734133.351687,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,0
5,1730734132.631881,1730734133.0830767,1730734133.2830768,0.2,1,google/flan-t5-small,task_1_of_user_1,21
5,1730734132.4674382,1730734133.28887,1730734133.6750255,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,15
1,1730734130.954385,1730734133.2995064,1730734133.5739808,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,2
2,1730734130.6731248,1730734133.3559263,1730734133.6304007,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,0
3,1730734133.0203307,1730734133.3876393,1730734133.6621137,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,18
4,1730734132.7946053,1730734133.4106395,1730734133.796795,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,15
6,1730734132.7958715,1730734133.4108207,1730734133.796976,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,18
7,1730734132.795924,1730734133.410935,1730734133.610935,0.2,1,google/flan-t5-small,task_1_of_user_1,24
1,1730734133.0770986,1730734133.580246,1730734133.780246,0.2,8,google/flan-t5-small,task_0_of_user_8,0
7,1730734131.4603086,1730734133.6132047,1730734133.8132048,0.2,1,google/flan-t5-small,task_1_of_user_1,7
2,1730734132.2601886,1730734133.6370487,1730734133.911523,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,16
3,1730734133.0199382,1730734133.6641796,1730734134.050335,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,20
5,1730734133.0825362,1730734133.680744,1730734134.0668993,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,18
1,1730734132.7944045,1730734133.7873518,1730734134.1735072,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,18
6,1730734132.8782594,1730734133.7988088,1730734134.1849642,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,19
4,1730734133.0197735,1730734133.799087,1730734134.1852424,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,17
7,1730734133.0768702,1730734133.8193371,1730734134.0193372,0.2,1,google/flan-t5-small,task_1_of_user_1,27
2,1730734131.3511803,1730734133.9164183,1730734134.1908927,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,6
7,1730734131.6285145,1730734134.0225139,1730734134.222514,0.2,1,google/flan-t5-small,task_1_of_user_1,8
3,1730734133.2992094,1730734134.0544968,1730734134.3289711,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,26
5,1730734132.010108,1730734134.071375,1730734134.4575303,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,11
1,1730734132.0101902,1730734134.1786554,1730734134.4531298,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,9
4,1730734132.402575,1730734134.1916895,1730734134.5778449,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,11
2,1730734132.402596,1730734134.1925669,1730734134.5787222,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,13
6,1730734132.4027965,1730734134.192888,1730734134.5790434,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,12
7,1730734133.4105945,1730734134.2302577,1730734134.4302578,0.2,8,google/flan-t5-small,task_0_of_user_8,3
3,1730734131.0683298,1730734134.336467,1730734134.7226224,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,2
7,1730734133.7990193,1730734134.436527,1730734134.636527,0.2,3,google/flan-t5-small,task_1_of_user_3,6
1,1730734133.916175,1730734134.4603195,1730734134.6603196,0.2,8,google/flan-t5-small,task_0_of_user_8,7
5,1730734131.3512416,1730734134.4605758,1730734134.8467312,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,6
4,1730734133.2885938,1730734134.5855489,1730734134.785549,0.2,1,google/flan-t5-small,task_1_of_user_1,28
2,1730734133.2888134,1730734134.586396,1730734134.9725513,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,19
6,1730734132.6085033,1730734134.5865443,1730734134.9726996,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,13
7,1730734134.336358,1730734134.6392167,1730734134.8392167,0.2,2,google/flan-t5-small,task_0_of_user_2,9
1,1730734133.9159434,1730734134.6621675,1730734134.936642,0.2744742835034505,7,google/flan-t5-base,task_0_of_user_7,34
3,1730734134.5861237,1730734134.7266636,1730734135.001138,0.2744742835034505,6,google/flan-t5-base,task_0_of_user_6,11
4,1730734133.288361,1730734134.7875457,1730734134.9875457,0.2,3,google/flan-t5-small,task_1_of_user_3,0
7,1730734134.3344414,1730734134.8458173,1730734135.0458174,0.2,8,google/flan-t5-small,task_0_of_user_8,11
5,1730734131.6281197,1730734134.8516076,1730734135.237763,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,6
1,1730734131.838535,1730734134.950808,1730734135.3369634,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,8
2,1730734131.839838,1730734134.977417,1730734135.177417,0.2,1,google/flan-t5-small,task_1_of_user_1,11
6,1730734134.1785653,1730734134.9782572,1730734135.1782572,0.2,2,google/flan-t5-small,task_0_of_user_2,7
4,1730734134.7264116,1730734134.9940436,1730734135.1940436,0.2,3,google/flan-t5-small,task_1_of_user_3,15
3,1730734132.2431412,1730734135.0056205,1730734135.2800949,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,11
7,1730734133.355462,1730734135.0529385,1730734135.4390938,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,20
2,1730734132.4674213,1730734135.1811755,1730734135.4556499,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,13
6,1730734134.5854332,1730734135.1814685,1730734135.3814685,0.2,1,google/flan-t5-small,task_1_of_user_1,46
4,1730734134.1021802,1730734135.1984534,1730734135.3984535,0.2,8,google/flan-t5-small,task_0_of_user_8,9
5,1730734133.9162204,1730734135.2419612,1730734135.4419613,0.2,3,google/flan-t5-small,task_1_of_user_3,7
3,1730734132.7455962,1730734135.2819903,1730734135.5564647,0.2744742835034505,4,google/flan-t5-base,task_0_of_user_4,17
1,1730734133.6634707,1730734135.3484304,1730734135.6229048,0.2744742835034505,9,google/flan-t5-base,task_0_of_user_9,23
6,1730734132.467173,1730734135.3833358,1730734135.7694912,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,12
4,1730734132.4020045,1730734135.400231,1730734135.7863863,0.3861554760443356,10,lucadiliello/bart-small,task_0_of_user_10,14
7,1730734132.673126,1730734135.4422748,1730734135.8284302,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,17
5,1730734131.7299056,1730734135.443105,1730734135.8292603,0.3861554760443356,8,lucadiliello/bart-small,task_1_of_user_8,7
2,1730734134.4605067,1730734135.459356,1730734135.659356,0.2,1,google/flan-t5-small,task_1_of_user_1,45
3,1730734133.9161322,1730734135.5635154,1730734135.7635155,0.2,2,google/flan-t5-small,task_0_of_user_2,4
1,1730734130.954589,1730734135.6381745,1730734135.912649,0.2744742835034505,5,google/flan-t5-base,task_0_of_user_5,2
2,1730734134.3363266,1730734135.6654067,1730734135.8654068,0.2,1,google/flan-t5-small,task_1_of_user_1,43
3,1730734135.4001744,1730734135.769691,1730734135.969691,0.2,2,google/flan-t5-small,task_0_of_user_2,20
6,1730734134.844519,1730734135.770629,1730734135.970629,0.2,8,google/flan-t5-small,task_0_of_user_8,16
4,1730734133.3868673,1730734135.7902637,1730734136.176419,0.3861554760443356,6,lucadiliello/bart-small,task_1_of_user_6,20
5,1730734132.328568,1730734135.8314097,1730734136.217565,0.3861554760443356,3,lucadiliello/bart-small,task_0_of_user_3,13
7,1730734135.7901845,1730734135.8317933,1730734136.0317934,0.2,3,google/flan-t5-small,task_1_of_user_3,27
2,1730734135.563222,1730734135.8718991,1730734136.1463735,0.2744742835034505,6,google/flan-t5-base,task_0_of_user_6,22
1,1730734131.8509576,1730734135.9195824,1730734136.3057377,0.3861554760443356,2,lucadiliello/bart-small,task_1_of_user_2,8
