energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
90478.04600000293,22642.76399999857,27.96,22.355921469284358,100,6.69172067913467,1730040872.126
88389.86699998975,22182.803999990225,27.85,19.836272040302273,100,6.756506930069171,1730040873.129
88389.86699998975,22182.803999990225,27.85,19.836272040302273,100,6.756506930069171,1730040873.129
88389.86699998975,22182.803999990225,27.85,19.836272040302273,100,6.756506930069171,1730040874.131
88389.86699998975,22182.803999990225,27.85,19.836272040302273,100,6.756506930069171,1730040874.131
88389.86699998975,22182.803999990225,27.85,19.836272040302273,100,6.756506930069171,1730040875.133
88389.86699998975,22182.803999990225,27.85,19.836272040302273,100,6.756506930069171,1730040875.133
88995.2149999994,22369.998999997973,27.73,20.188679245283016,100,6.723651937302389,1730040876.135
88995.2149999994,22369.998999997973,27.73,20.188679245283016,100,6.723651937302389,1730040876.135
88995.2149999994,22369.998999997973,27.73,20.188679245283016,100,6.723651937302389,1730040877.138
88995.2149999994,22369.998999997973,27.73,20.188679245283016,100,6.723651937302389,1730040877.138
90156.61000000477,22519.901000007987,28.24,19.83678593848085,100,6.703292327422972,1730040878.14
90156.61000000477,22519.901000007987,28.24,19.83678593848085,100,6.703292327422972,1730040878.14
90156.61000000477,22519.901000007987,28.24,19.83678593848085,100,6.703292327422972,1730040879.143
90156.61000000477,22519.901000007987,28.24,19.83678593848085,100,6.703292327422972,1730040879.143
90156.61000000477,22519.901000007987,28.24,19.83678593848085,100,6.703292327422972,1730040880.145
90156.61000000477,22519.901000007987,28.24,19.83678593848085,100,6.703292327422972,1730040880.145
88863.65999999583,22057.25499999523,27.89,19.52291274325173,100,6.768939898456602,1730040881.148
88863.65999999583,22057.25499999523,27.89,19.52291274325173,100,6.768939898456602,1730040881.148
88863.65999999583,22057.25499999523,27.89,19.52291274325173,100,6.768939898456602,1730040882.15
88863.65999999583,22057.25499999523,27.89,19.52291274325173,100,6.768939898456602,1730040882.15
88863.65999999583,22057.25499999523,27.89,19.52291274325173,100,6.768939898456602,1730040883.152
88863.65999999583,22057.25499999523,27.89,19.52291274325173,100,6.768939898456602,1730040883.152
89772.32099999786,22530.520999997854,27.8,19.48460087994972,100,6.773658434651832,1730040884.154
89772.32099999786,22530.520999997854,27.8,19.48460087994972,100,6.773658434651832,1730040884.154
89772.32099999786,22530.520999997854,27.8,19.48460087994972,100,6.773658434651832,1730040885.156
89772.32099999786,22530.520999997854,27.8,19.48460087994972,100,6.773658434651832,1730040885.156
89772.32099999786,22530.520999997854,27.8,19.48460087994972,100,6.773658434651832,1730040886.158
89772.32099999786,22530.520999997854,27.8,19.48460087994972,100,6.773658434651832,1730040886.158
91203.1220000136,23045.90000000596,27.88,20.200752823086574,100,6.729269242296709,1730040887.161
91203.1220000136,23045.90000000596,27.88,20.200752823086574,100,6.729269242296709,1730040887.161
91203.1220000136,23045.90000000596,27.88,20.200752823086574,100,6.729269242296709,1730040888.163
91203.1220000136,23045.90000000596,27.88,20.200752823086574,100,6.729269242296709,1730040888.163
91203.1220000136,23045.90000000596,27.88,20.200752823086574,100,6.729269242296709,1730040889.165
91203.1220000136,23045.90000000596,27.88,20.200752823086574,100,6.729269242296709,1730040889.165
88794.0290000081,22000.309000000358,27.9,20.02518891687658,100,6.696077211230265,1730040890.168
88794.0290000081,22000.309000000358,27.9,20.02518891687658,100,6.696077211230265,1730040890.168
88794.0290000081,22000.309000000358,27.9,20.02518891687658,100,6.696077211230265,1730040891.173
88794.0290000081,22000.309000000358,27.9,20.02518891687658,100,6.696077211230265,1730040891.173
88794.0290000081,22000.309000000358,27.9,20.02518891687658,100,6.696077211230265,1730040892.175
88794.0290000081,22000.309000000358,27.9,20.02518891687658,100,6.696077211230265,1730040892.175
89944.93999999762,22442.875,27.75,21.2484237074401,100,6.664096021462599,1730040893.178
89944.93999999762,22442.875,27.75,21.2484237074401,100,6.664096021462599,1730040893.178
89944.93999999762,22442.875,27.75,21.2484237074401,100,6.664096021462599,1730040894.181
89944.93999999762,22442.875,27.75,21.2484237074401,100,6.664096021462599,1730040894.181
89944.93999999762,22442.875,27.75,21.2484237074401,100,6.664096021462599,1730040895.184
89944.93999999762,22442.875,27.75,21.2484237074401,100,6.664096021462599,1730040895.184
88702.55500001312,22079.716000005603,28.1,21.03600758054327,100,6.743387402182435,1730040896.187
88702.55500001312,22079.716000005603,28.1,21.03600758054327,100,6.743387402182435,1730040896.187
88702.55500001312,22079.716000005603,28.1,21.03600758054327,100,6.743387402182435,1730040897.19
88702.55500001312,22079.716000005603,28.1,21.03600758054327,100,6.743387402182435,1730040897.19
88022.84299999416,21575.200999990106,27.89,20.84382871536524,100,6.772197935353308,1730040898.193
88022.84299999416,21575.200999990106,27.89,20.84382871536524,100,6.772197935353308,1730040898.193
88022.84299999416,21575.200999990106,27.89,20.84382871536524,100,6.772197935353308,1730040899.196
88022.84299999416,21575.200999990106,27.89,20.84382871536524,100,6.772197935353308,1730040899.196
88022.84299999416,21575.200999990106,27.89,20.84382871536524,100,6.772197935353308,1730040900.199
88022.84299999416,21575.200999990106,27.89,20.84382871536524,100,6.772197935353308,1730040900.199
88937.83000001192,22095.462999999523,27.78,21.545226130653262,100,6.812854740612203,1730040901.201
88937.83000001192,22095.462999999523,27.78,21.545226130653262,100,6.812854740612203,1730040901.201
88937.83000001192,22095.462999999523,27.78,21.545226130653262,100,6.812854740612203,1730040902.204
88937.83000001192,22095.462999999523,27.78,21.545226130653262,100,6.812854740612203,1730040902.204
88937.83000001192,22095.462999999523,27.78,21.545226130653262,100,6.812854740612203,1730040903.207
88937.83000001192,22095.462999999523,27.78,21.545226130653262,100,6.812854740612203,1730040903.207
89930.94999999106,22498.538000002503,27.8,20.691823899371066,100,6.747182203778598,1730040904.21
89930.94999999106,22498.538000002503,27.8,20.691823899371066,100,6.747182203778598,1730040904.21
89930.94999999106,22498.538000002503,27.8,20.691823899371066,100,6.747182203778598,1730040905.212
89930.94999999106,22498.538000002503,27.8,20.691823899371066,100,6.747182203778598,1730040905.212
89930.94999999106,22498.538000002503,27.8,20.691823899371066,100,6.747182203778598,1730040906.215
89930.94999999106,22498.538000002503,27.8,20.691823899371066,100,6.747182203778598,1730040906.215
88928.0530000025,21972.905000001192,27.89,19.092627599243862,100,6.770150739755378,1730040907.218
88928.0530000025,21972.905000001192,27.89,19.092627599243862,100,6.770150739755378,1730040907.218
88928.0530000025,21972.905000001192,27.89,19.092627599243862,100,6.770150739755378,1730040908.22
88928.0530000025,21972.905000001192,27.89,19.092627599243862,100,6.770150739755378,1730040908.22
88928.0530000025,21972.905000001192,27.89,19.092627599243862,100,6.770150739755378,1730040909.222
88928.0530000025,21972.905000001192,27.89,19.092627599243862,100,6.770150739755378,1730040909.222
90718.98399999738,22881.53300000727,27.75,19.648462021343384,100,6.745159973980644,1730040910.224
90718.98399999738,22881.53300000727,27.75,19.648462021343384,100,6.745159973980644,1730040910.224
90718.98399999738,22881.53300000727,27.75,19.648462021343384,100,6.745159973980644,1730040911.226
90718.98399999738,22881.53300000727,27.75,19.648462021343384,100,6.745159973980644,1730040911.226
90718.98399999738,22881.53300000727,27.75,19.648462021343384,100,6.745159973980644,1730040912.229
90718.98399999738,22881.53300000727,27.75,19.648462021343384,100,6.745159973980644,1730040912.229
89946.38300000965,22588.504000008106,27.79,20.82810539523212,100,6.6127164051145435,1730040913.232
89946.38300000965,22588.504000008106,27.79,20.82810539523212,100,6.6127164051145435,1730040913.232
89946.38300000965,22588.504000008106,27.79,20.82810539523212,100,6.6127164051145435,1730040914.234
89946.38300000965,22588.504000008106,27.79,20.82810539523212,100,6.6127164051145435,1730040914.234
89946.38300000965,22588.504000008106,27.79,20.82810539523212,100,6.6127164051145435,1730040915.237
89946.38300000965,22588.504000008106,27.79,20.82810539523212,100,6.6127164051145435,1730040915.237
88917.28099998891,22017.6439999938,27.86,19.69792322215229,100,6.65565758107113,1730040916.24
88917.28099998891,22017.6439999938,27.86,19.69792322215229,100,6.65565758107113,1730040916.24
88917.28099998891,22017.6439999938,27.86,19.69792322215229,100,6.65565758107113,1730040917.242
88917.28099998891,22017.6439999938,27.86,19.69792322215229,100,6.65565758107113,1730040917.242
90152.4889999938,22570.19399999082,27.72,16.927899686520377,100,6.6551208163716735,1730040918.245
90152.4889999938,22570.19399999082,27.72,16.927899686520377,100,6.6551208163716735,1730040918.245
90152.4889999938,22570.19399999082,27.72,16.927899686520377,100,6.6551208163716735,1730040919.248
90152.4889999938,22570.19399999082,27.72,16.927899686520377,100,6.6551208163716735,1730040919.248
90152.4889999938,22570.19399999082,27.72,16.927899686520377,100,6.6551208163716735,1730040920.252
90152.4889999938,22570.19399999082,27.72,16.927899686520377,100,6.6551208163716735,1730040920.252
90169.63800000786,22629.58100000024,27.84,22.586750788643528,100,6.671847902354762,1730040921.254
90169.63800000786,22629.58100000024,27.84,22.586750788643528,100,6.671847902354762,1730040921.254
90169.63800000786,22629.58100000024,27.84,22.586750788643528,100,6.671847902354762,1730040922.257
90169.63800000786,22629.58100000024,27.84,22.586750788643528,100,6.671847902354762,1730040922.257
90169.63800000786,22629.58100000024,27.84,22.586750788643528,100,6.671847902354762,1730040923.26
90169.63800000786,22629.58100000024,27.84,22.586750788643528,100,6.671847902354762,1730040923.26
90009.1359999907,22356.75499999523,27.92,19.987389659520804,100,6.688874577937548,1730040924.262
90009.1359999907,22356.75499999523,27.92,19.987389659520804,100,6.688874577937548,1730040924.262
90009.1359999907,22356.75499999523,27.92,19.987389659520804,100,6.688874577937548,1730040925.265
90009.1359999907,22356.75499999523,27.92,19.987389659520804,100,6.688874577937548,1730040925.265
91744.41400000035,22926.576999992132,27.73,19.671094244149266,100,6.499359190329147,1730040926.267
91744.41400000035,22926.576999992132,27.73,19.671094244149266,100,6.499359190329147,1730040926.267
