energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
85717.95799998968,24844.05199998617,20.18,10.846394984326025,0,1.345619169939579,1730044732.251
85717.95799998968,24844.05199998617,20.18,10.846394984326025,0,1.345619169939579,1730044732.251
77396.19100000293,21240.05799999833,20.23,10.075093867334173,0,1.5236877382595517,1730044733.253
77396.19100000293,21240.05799999833,20.23,10.075093867334173,0,1.5236877382595517,1730044733.253
77396.19100000293,21240.05799999833,20.23,10.075093867334173,0,1.5236877382595517,1730044734.255
77396.19100000293,21240.05799999833,20.23,10.075093867334173,0,1.5236877382595517,1730044734.255
77396.19100000293,21240.05799999833,20.23,10.075093867334173,0,1.5236877382595517,1730044735.257
77396.19100000293,21240.05799999833,20.23,10.075093867334173,0,1.5236877382595517,1730044735.257
76274.7439999783,20489.38799998164,20.24,10.608913998744507,0,1.3450324736401722,1730044736.259
76274.7439999783,20489.38799998164,20.24,10.608913998744507,0,1.3450324736401722,1730044736.259
76274.7439999783,20489.38799998164,20.24,10.608913998744507,0,1.3450324736401722,1730044737.261
76274.7439999783,20489.38799998164,20.24,10.608913998744507,0,1.3450324736401722,1730044737.261
76030.24800001085,20470.101000010967,20.25,10.282131661442007,0,1.3557303189293566,1730044738.263
76030.24800001085,20470.101000010967,20.25,10.282131661442007,0,1.3557303189293566,1730044738.263
76030.24800001085,20470.101000010967,20.25,10.282131661442007,0,1.3557303189293566,1730044739.266
76030.24800001085,20470.101000010967,20.25,10.282131661442007,0,1.3557303189293566,1730044739.266
76539.48299999206,20886.298999994993,20.27,10.470219435736672,0,1.6475181061343591,1730044740.268
76539.48299999206,20886.298999994993,20.27,10.470219435736672,0,1.6475181061343591,1730044740.268
76539.48299999206,20886.298999994993,20.27,10.470219435736672,0,1.6475181061343591,1730044741.27
76539.48299999206,20886.298999994993,20.27,10.470219435736672,0,1.6475181061343591,1730044741.27
80159.88599997968,22492.556999981403,20.26,28.105395232120458,0,1.4962628069872783,1730044742.272
80159.88599997968,22492.556999981403,20.26,28.105395232120458,0,1.4962628069872783,1730044742.272
80159.88599997968,22492.556999981403,20.26,28.105395232120458,0,1.4962628069872783,1730044743.274
80159.88599997968,22492.556999981403,20.26,28.105395232120458,0,1.4962628069872783,1730044743.274
80159.88599997968,22492.556999981403,20.26,28.105395232120458,0,1.4962628069872783,1730044744.276
80159.88599997968,22492.556999981403,20.26,28.105395232120458,0,1.4962628069872783,1730044744.276
90498.29999999912,26844.47499999404,20.26,22.3404255319149,0,1.6676655067139903,1730044745.279
90498.29999999912,26844.47499999404,20.26,22.3404255319149,0,1.6676655067139903,1730044745.279
90498.29999999912,26844.47499999404,20.26,22.3404255319149,0,1.6676655067139903,1730044746.281
90498.29999999912,26844.47499999404,20.26,22.3404255319149,0,1.6676655067139903,1730044746.281
89679.71799999356,26329.6439999938,20.28,24.356559949780287,0,1.455930557128054,1730044747.283
89679.71799999356,26329.6439999938,20.28,24.356559949780287,0,1.455930557128054,1730044747.283
89679.71799999356,26329.6439999938,20.28,24.356559949780287,0,1.455930557128054,1730044748.286
89679.71799999356,26329.6439999938,20.28,24.356559949780287,0,1.455930557128054,1730044748.286
82162.62700001121,23232.851000010967,20.32,16.509730069052097,0,2.665336322405345,1730044749.289
82162.62700001121,23232.851000010967,20.32,16.509730069052097,0,2.665336322405345,1730044749.289
82162.62700001121,23232.851000010967,20.32,16.509730069052097,0,2.665336322405345,1730044750.291
82162.62700001121,23232.851000010967,20.32,16.509730069052097,0,2.665336322405345,1730044750.291
78760.0569999832,21878.91099998355,20.33,9.335839598997497,0,2.470465770702359,1730044751.293
78760.0569999832,21878.91099998355,20.33,9.335839598997497,0,2.470465770702359,1730044751.293
78760.0569999832,21878.91099998355,20.33,9.335839598997497,0,2.470465770702359,1730044752.296
78760.0569999832,21878.91099998355,20.33,9.335839598997497,0,2.470465770702359,1730044752.296
78760.0569999832,21878.91099998355,20.33,9.335839598997497,0,2.470465770702359,1730044753.299
78760.0569999832,21878.91099998355,20.33,9.335839598997497,0,2.470465770702359,1730044753.299
79365.26999997825,21702.88599997759,20.38,9.039548022598876,0,2.3037191926709397,1730044754.301
79365.26999997825,21702.88599997759,20.38,9.039548022598876,0,2.3037191926709397,1730044754.301
79365.26999997825,21702.88599997759,20.38,9.039548022598876,0,2.3037191926709397,1730044755.304
79365.26999997825,21702.88599997759,20.38,9.039548022598876,0,2.3037191926709397,1730044755.304
78074.02300000131,21643.194000005722,20.39,9.085213032581452,0,2.237946792637436,1730044756.306
78074.02300000131,21643.194000005722,20.39,9.085213032581452,0,2.237946792637436,1730044756.306
78074.02300000131,21643.194000005722,20.39,9.085213032581452,0,2.237946792637436,1730044757.308
78074.02300000131,21643.194000005722,20.39,9.085213032581452,0,2.237946792637436,1730044757.308
77976.21500001162,21393.62200000882,20.36,16.228070175438592,0,2.054785201122612,1730044758.31
77976.21500001162,21393.62200000882,20.36,16.228070175438592,0,2.054785201122612,1730044758.31
77976.21500001162,21393.62200000882,20.36,16.228070175438592,0,2.054785201122612,1730044759.312
77976.21500001162,21393.62200000882,20.36,16.228070175438592,0,2.054785201122612,1730044759.312
86283.94299999147,24646.298999994993,20.37,15.72681704260651,0,1.9448732667337332,1730044760.314
86283.94299999147,24646.298999994993,20.37,15.72681704260651,0,1.9448732667337332,1730044760.314
86283.94299999147,24646.298999994993,20.37,15.72681704260651,0,1.9448732667337332,1730044761.316
