GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name,Task_Id,Task_Retrain
1,1731006378.5074606,1731006378.512071,1731006403.1119447,24.59987366874482,27,google/flan-t5-base,task_0_of_user_27,-1
2,1731006378.508385,1731006378.5123308,1731006403.1122046,24.59987366874482,25,google/flan-t5-base,task_1_of_user_25,-1
3,1731006378.5085852,1731006378.5125322,1731006386.7951946,8.282662422445561,3,lucadiliello/bart-small,task_0_of_user_3,-1
4,1731006378.5097084,1731006378.5127466,1731006386.795409,8.282662422445561,2,lucadiliello/bart-small,task_1_of_user_2,-1
5,1731006378.509903,1731006378.5129704,1731006386.7956328,8.282662422445561,8,lucadiliello/bart-small,task_1_of_user_8,-1
6,1731006378.5099883,1731006378.5132296,1731006389.1539629,10.640733139188795,1,google/flan-t5-small,task_1_of_user_1,-1
7,1731006378.5101674,1731006378.5135033,1731006389.1542366,10.640733139188795,26,google/flan-t5-small,task_0_of_user_26,-1
3,1731006384.687832,1731006386.8034322,1731006411.403306,24.59987366874482,16,google/flan-t5-base,task_0_of_user_16,-1
4,1731006378.5114956,1731006386.8041494,1731006397.4448826,10.640733139188795,14,google/flan-t5-small,task_0_of_user_14,-1
5,1731006385.4473817,1731006386.804376,1731006395.0870383,8.282662422445561,1,lucadiliello/bart-small,task_0_of_user_1,-1
6,1731006386.8028514,1731006389.1606748,1731006397.4433372,8.282662422445561,17,lucadiliello/bart-small,task_0_of_user_17,-1
7,1731006386.0661616,1731006389.1611245,1731006397.4437869,8.282662422445561,7,lucadiliello/bart-small,task_2_of_user_7,-1
5,1731006385.3860512,1731006395.093147,1731006405.7338803,10.640733139188795,24,google/flan-t5-small,task_0_of_user_24,-1
7,1731006378.511783,1731006397.450898,1731006408.0916312,10.640733139188795,12,google/flan-t5-small,task_0_of_user_12,-1
4,1731006378.511854,1731006397.4511516,1731006405.733814,8.282662422445561,10,lucadiliello/bart-small,task_0_of_user_10,-1
6,1731006384.368839,1731006397.451394,1731006408.0921273,10.640733139188795,3,google/flan-t5-small,task_1_of_user_3,-1
1,1731006378.511426,1731006403.1192737,1731006427.7191474,24.59987366874482,19,google/flan-t5-base,task_0_of_user_19,-1
2,1731006385.688913,1731006403.1195388,1731006413.760272,10.640733139188795,12,google/flan-t5-small,task_1_of_user_12,-1
4,1731006378.5108438,1731006405.740764,1731006414.0234263,8.282662422445561,6,lucadiliello/bart-small,task_1_of_user_6,-1
5,1731006383.915724,1731006405.7411573,1731006414.0238197,8.282662422445561,19,lucadiliello/bart-small,task_1_of_user_19,-1
6,1731006378.510348,1731006408.098553,1731006418.7392862,10.640733139188795,22,google/flan-t5-small,task_0_of_user_22,-1
7,1731006385.2840152,1731006408.0988297,1731006418.739563,10.640733139188795,8,google/flan-t5-small,task_0_of_user_8,-1
3,1731006384.0582936,1731006411.4090092,1731006436.008883,24.59987366874482,22,google/flan-t5-base,task_1_of_user_22,-1
2,1731006384.9833055,1731006413.766042,1731006424.4067752,10.640733139188795,25,google/flan-t5-small,task_0_of_user_25,-1
4,1731006385.4167767,1731006414.030049,1731006422.3127115,8.282662422445561,9,lucadiliello/bart-small,task_1_of_user_9,-1
5,1731006378.5105584,1731006414.0305293,1731006422.3131917,8.282662422445561,11,lucadiliello/bart-small,task_0_of_user_11,-1
7,1731006378.5112567,1731006418.7461174,1731006427.0287797,8.282662422445561,21,lucadiliello/bart-small,task_0_of_user_21,-1
6,1731006378.5113773,1731006418.7467828,1731006429.387516,10.640733139188795,30,google/flan-t5-small,task_0_of_user_30,-1
4,1731006385.2841616,1731006422.3194025,1731006432.9601357,10.640733139188795,2,google/flan-t5-small,task_0_of_user_2,-1
5,1731006378.510718,1731006422.3196638,1731006430.6023262,8.282662422445561,13,lucadiliello/bart-small,task_0_of_user_13,-1
2,1731006385.1616185,1731006424.4130192,1731006449.012893,24.59987366874482,6,google/flan-t5-base,task_0_of_user_6,-1
7,1731006378.5109608,1731006427.0347822,1731006435.3174446,8.282662422445561,18,lucadiliello/bart-small,task_0_of_user_18,-1
1,1731006378.5108812,1731006427.7252204,1731006452.3250942,24.59987366874482,5,google/flan-t5-base,task_0_of_user_5,-1
6,1731006383.1974978,1731006429.3936625,1731006437.6763248,8.282662422445561,14,lucadiliello/bart-small,task_1_of_user_14,-1
5,1731006382.4188762,1731006430.6083517,1731006438.891014,8.282662422445561,7,lucadiliello/bart-small,task_1_of_user_7,-1
4,1731006385.3606822,1731006432.966547,1731006441.2492094,8.282662422445561,17,lucadiliello/bart-small,task_2_of_user_17,-1
7,1731006386.802367,1731006435.323847,1731006443.6065094,8.282662422445561,26,lucadiliello/bart-small,task_2_of_user_26,-1
3,1731006378.5117037,1731006436.0152957,1731006460.6151695,24.59987366874482,16,google/flan-t5-base,task_1_of_user_16,-1
6,1731006378.511188,1731006437.6831734,1731006448.3239067,10.640733139188795,23,google/flan-t5-small,task_0_of_user_23,-1
5,1731006386.8016255,1731006438.897814,1731006447.1804764,8.282662422445561,6,lucadiliello/bart-small,task_2_of_user_6,-1
2,1731006378.5106964,1731006449.019025,1731006473.6188989,24.59987366874482,28,google/flan-t5-base,task_0_of_user_28,-1
1,1731006378.5116425,1731006452.3311386,1731006476.9310124,24.59987366874482,20,google/flan-t5-base,task_0_of_user_20,-1
