GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name
1,1730653043.2306798,1730653043.2324896,1730653044.0607557,0.828266242244556,8,lucadiliello/bart-small
2,1730653043.2313316,1730653043.232666,1730653044.2967393,1.0640733139188794,1,google/flan-t5-small
3,1730653043.2317011,1730653043.2328,1730653045.6927874,2.459987366874482,5,google/flan-t5-base
4,1730653043.2319136,1730653043.2329564,1730653044.0612226,0.828266242244556,6,lucadiliello/bart-small
5,1730653043.2321475,1730653043.2331526,1730653044.0614188,0.828266242244556,2,lucadiliello/bart-small
6,1730653043.2322192,1730653043.233306,1730653044.061572,0.828266242244556,10,lucadiliello/bart-small
7,1730653043.2323759,1730653043.2334561,1730653044.0617223,0.828266242244556,3,lucadiliello/bart-small
1,1730653043.2321727,1730653044.0706375,1730653046.5306249,2.459987366874482,7,google/flan-t5-base
4,1730653044.0573294,1730653044.0710235,1730653045.1350968,1.0640733139188794,8,google/flan-t5-small
5,1730653044.0686169,1730653044.0712261,1730653044.8994923,0.828266242244556,9,lucadiliello/bart-small
6,1730653044.0690508,1730653044.0714235,1730653045.1354969,1.0640733139188794,3,google/flan-t5-small
7,1730653044.0691805,1730653044.0716145,1730653044.8998806,0.828266242244556,7,lucadiliello/bart-small
2,1730653044.0705402,1730653044.3075197,1730653046.767507,2.459987366874482,5,google/flan-t5-base
5,1730653044.307143,1730653044.9063632,1730653045.7346294,0.828266242244556,7,lucadiliello/bart-small
7,1730653044.3075042,1730653044.9065785,1730653045.7348447,0.828266242244556,6,lucadiliello/bart-small
4,1730653044.0693924,1730653045.1415246,1730653045.9697907,0.828266242244556,1,lucadiliello/bart-small
6,1730653044.0699186,1730653045.141728,1730653046.2058012,1.0640733139188794,2,google/flan-t5-small
3,1730653044.307002,1730653045.7009835,1730653048.160971,2.459987366874482,1,google/flan-t5-base
1,1730653043.2322075,1730653046.5381455,1730653048.998133,2.459987366874482,9,google/flan-t5-base
2,1730653044.0689676,1730653046.775808,1730653049.2357955,2.459987366874482,6,google/flan-t5-base
3,1730653043.2324343,1730653048.1692076,1730653050.629195,2.459987366874482,4,google/flan-t5-base
1,1730653043.8303068,1730653049.0064585,1730653051.466446,2.459987366874482,5,google/flan-t5-base
2,1730653044.3073182,1730653049.2440891,1730653051.7040765,2.459987366874482,9,google/flan-t5-base
