GPU_ID,Arrival_Time,Start_Time,End_Time,Training_Time,User_ID,Model_Name
1,1730638068.7995565,1730638068.7999036,1730638069.6281698,0.828266242244556,3,lucadiliello/bart-small
2,1730638068.799759,1730638068.8001344,1730638069.8642077,1.0640733139188794,1,google/flan-t5-small
3,1730638068.7998617,1730638068.8003418,1730638069.628608,0.828266242244556,2,lucadiliello/bart-small
4,1730638069.279429,1730638069.2798336,1730638070.1080997,0.828266242244556,3,lucadiliello/bart-small
5,1730638069.2794688,1730638069.2800496,1730638070.344123,1.0640733139188794,1,google/flan-t5-small
6,1730638069.5110219,1730638069.5117147,1730638070.575788,1.0640733139188794,3,google/flan-t5-small
7,1730638069.511509,1730638069.5120072,1730638070.3402734,0.828266242244556,1,lucadiliello/bart-small
1,1730638069.1217787,1730638069.6331856,1730638072.093173,2.459987366874482,3,google/flan-t5-base
3,1730638069.279808,1730638069.6337636,1730638072.093751,2.459987366874482,2,google/flan-t5-base
2,1730638069.844714,1730638069.8717356,1730638070.7000017,0.828266242244556,2,lucadiliello/bart-small
4,1730638069.8712673,1730638070.1176174,1730638070.9458835,0.828266242244556,3,lucadiliello/bart-small
5,1730638070.1166642,1730638070.347327,1730638071.1755931,0.828266242244556,3,lucadiliello/bart-small
7,1730638070.1172771,1730638070.3478708,1730638071.4119442,1.0640733139188794,2,google/flan-t5-small
6,1730638069.8716843,1730638070.5889328,1730638071.653006,1.0640733139188794,2,google/flan-t5-small
2,1730638069.6334286,1730638070.7050943,1730638071.7691677,1.0640733139188794,2,google/flan-t5-small
4,1730638070.7048965,1730638070.9532006,1730638071.7814667,0.828266242244556,1,lucadiliello/bart-small
5,1730638070.9530518,1730638071.1871955,1730638072.0154617,0.828266242244556,2,lucadiliello/bart-small
7,1730638071.1871746,1730638071.41686,1730638072.2451262,0.828266242244556,1,lucadiliello/bart-small
6,1730638071.416733,1730638071.6564953,1730638072.4847615,0.828266242244556,3,lucadiliello/bart-small
2,1730638070.704805,1730638071.7771099,1730638074.2370973,2.459987366874482,2,google/flan-t5-base
4,1730638069.6335506,1730638071.788226,1730638072.616492,0.828266242244556,3,lucadiliello/bart-small
5,1730638071.416589,1730638072.024009,1730638072.8522751,0.828266242244556,1,lucadiliello/bart-small
1,1730638072.0239186,1730638072.106715,1730638074.5667024,2.459987366874482,2,google/flan-t5-base
3,1730638071.6562605,1730638072.1069276,1730638074.566915,2.459987366874482,3,google/flan-t5-base
7,1730638069.8717244,1730638072.2486596,1730638073.312733,1.0640733139188794,1,google/flan-t5-small
6,1730638071.7770236,1730638072.5076528,1730638073.335919,0.828266242244556,2,lucadiliello/bart-small
4,1730638072.1059337,1730638072.619576,1730638073.6836493,1.0640733139188794,2,google/flan-t5-small
5,1730638070.6375136,1730638072.8630412,1730638073.6913073,0.828266242244556,2,lucadiliello/bart-small
7,1730638072.665437,1730638073.3184283,1730638074.1466944,0.828266242244556,3,lucadiliello/bart-small
6,1730638071.1872797,1730638073.3422096,1730638074.406283,1.0640733139188794,2,google/flan-t5-small
4,1730638071.7770808,1730638073.690269,1730638074.5185351,0.828266242244556,3,lucadiliello/bart-small
5,1730638073.6776278,1730638073.6970108,1730638074.525277,0.828266242244556,2,lucadiliello/bart-small
7,1730638071.4168196,1730638074.153273,1730638074.9815392,0.828266242244556,2,lucadiliello/bart-small
2,1730638070.7050803,1730638074.2453768,1730638076.7053642,2.459987366874482,3,google/flan-t5-base
6,1730638069.6334743,1730638074.4131567,1730638075.241423,0.828266242244556,1,lucadiliello/bart-small
4,1730638073.4237978,1730638074.5249596,1730638075.589033,1.0640733139188794,2,google/flan-t5-small
